Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
Pony_Spell_AppleCider_Name_Key,Text,,,,,Apple Cider,Apple Cider,Apple Cider,Apple Cider,Apple Cider,Apple Cider
Pony_Spell_AppleCider_Description_Key,Text,,,,,Heal friendly units for {[effect1.power]} and apply <nobr><b>Regen {[effect0.status0.power]}</b></nobr>.,Heal friendly units for {[effect1.power]} and apply <nobr><b>Regen {[effect0.status0.power]}</b></nobr>.,Heal friendly units for {[effect1.power]} and apply <nobr><b>Regen {[effect0.status0.power]}</b></nobr>.,Heal friendly units for {[effect1.power]} and apply <nobr><b>Regen {[effect0.status0.power]}</b></nobr>.,Heal friendly units for {[effect1.power]} and apply <nobr><b>Regen {[effect0.status0.power]}</b></nobr>.,Heal friendly units for {[effect1.power]} and apply <nobr><b>Regen {[effect0.status0.power]}</b></nobr>.
Pony_Spell_AppleCider_Lore_Key,Text,,,,,"Simple refreshing cider straight from the farm is quite a pleasure to behold. Lovingly hoof-crafted and brewed to perfection, there's nothing better than Equestrian apple cider.","Simple refreshing cider straight from the farm is quite a pleasure to behold. Lovingly hoof-crafted and brewed to perfection, there's nothing better than Equestrian apple cider.","Simple refreshing cider straight from the farm is quite a pleasure to behold. Lovingly hoof-crafted and brewed to perfection, there's nothing better than Equestrian apple cider.","Simple refreshing cider straight from the farm is quite a pleasure to behold. Lovingly hoof-crafted and brewed to perfection, there's nothing better than Equestrian apple cider.","Simple refreshing cider straight from the farm is quite a pleasure to behold. Lovingly hoof-crafted and brewed to perfection, there's nothing better than Equestrian apple cider.","Simple refreshing cider straight from the farm is quite a pleasure to behold. Lovingly hoof-crafted and brewed to perfection, there's nothing better than Equestrian apple cider."
Pony_Spell_DressedToKill_Name_Key,Text,,,,,Dressed To Kill,Dressed To Kill,Dressed To Kill,Dressed To Kill,Dressed To Kill,Dressed To Kill
Pony_Spell_DressedToKill_Description_Key,Text,,,,,Apply <nobr>+1[attack]</nobr> and <nobr>{[trait0.statusmultiplier]}[x] <b>Armor</b></nobr> to all friendly units.,Apply <nobr>+1[attack]</nobr> and <nobr>{[trait0.statusmultiplier]}[x] <b>Armor</b></nobr> to all friendly units.,Apply <nobr>+1[attack]</nobr> and <nobr>{[trait0.statusmultiplier]}[x] <b>Armor</b></nobr> to all friendly units.,Apply <nobr>+1[attack]</nobr> and <nobr>{[trait0.statusmultiplier]}[x] <b>Armor</b></nobr> to all friendly units.,Apply <nobr>+1[attack]</nobr> and <nobr>{[trait0.statusmultiplier]}[x] <b>Armor</b></nobr> to all friendly units.,Apply <nobr>+1[attack]</nobr> and <nobr>{[trait0.statusmultiplier]}[x] <b>Armor</b></nobr> to all friendly units.
Pony_Spell_DressedToKill_Lore_Key,Text,,,,,"For a race that usually wears nothing, they sure put a lot of time and effort into crafting the silliest, er, excuse me, the most exquisite gowns and dresses I've ever seen.","For a race that usually wears nothing, they sure put a lot of time and effort into crafting the silliest, er, excuse me, the most exquisite gowns and dresses I've ever seen.","For a race that usually wears nothing, they sure put a lot of time and effort into crafting the silliest, er, excuse me, the most exquisite gowns and dresses I've ever seen.","For a race that usually wears nothing, they sure put a lot of time and effort into crafting the silliest, er, excuse me, the most exquisite gowns and dresses I've ever seen.","For a race that usually wears nothing, they sure put a lot of time and effort into crafting the silliest, er, excuse me, the most exquisite gowns and dresses I've ever seen.","For a race that usually wears nothing, they sure put a lot of time and effort into crafting the silliest, er, excuse me, the most exquisite gowns and dresses I've ever seen."
Pony_Spell_NightTerrors_Name_Key,Text,,,,,Night Terrors,Night Terrors,Night Terrors,Night Terrors,Night Terrors,Night Terrors
Pony_Spell_NightTerrors_Description_Key,Text,,,,,Deal <nobr>{[effect0.power]} damage</nobr> to a target unit twice and gain <nobr>1[ember] on <b>Slay</b></nobr>.,Deal <nobr>{[effect0.power]} damage</nobr> to a target unit twice and gain <nobr>1[ember] on <b>Slay</b></nobr>.,Deal <nobr>{[effect0.power]} damage</nobr> to a target unit twice and gain <nobr>1[ember] on <b>Slay</b></nobr>.,Deal <nobr>{[effect0.power]} damage</nobr> to a target unit twice and gain <nobr>1[ember] on <b>Slay</b></nobr>.,Deal <nobr>{[effect0.power]} damage</nobr> to a target unit twice and gain <nobr>1[ember] on <b>Slay</b></nobr>.,Deal <nobr>{[effect0.power]} damage</nobr> to a target unit twice and gain <nobr>1[ember] on <b>Slay</b></nobr>.
Pony_Spell_NightTerrors_Lore_Key,Text,,,,,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.,My nights in Equestria have been troubled and it goes far beyond the anxieties and horrors of war. It's as if a malevolent spirit is digging deep into my psyche to find my worst fears and inflict them upon me.
Pony_Spell_PastryWarfare_Name_Key,Text,,,,,Pastry Warfare,Pastry Warfare,Pastry Warfare,Pastry Warfare,Pastry Warfare,Pastry Warfare
